,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,ADA-USD,BTC-USD,XRP-USD
297,83.55441,86.02257,38.77548,90.543655,163.80093,73.359375,39.099594,69.93814,132.23335,179.05794,0.44047022,62342.07,0.5001692
298,83.54298,85.90677,38.733044,90.37719,163.21375,73.318954,38.84794,69.869965,132.28485,177.89903,0.46011645,63715.715,0.5124022
299,83.54298,85.81175,38.75761,90.66201,163.12744,73.355095,38.816334,70.22892,132.24359,178.89362,0.45316312,63386.176,0.51208556
300,83.60072,85.36476,38.736195,90.55756,163.00766,73.33291,38.4667,69.7486,132.19832,177.2634,0.44158873,63084.73,0.5026147
301,83.60879,85.114876,38.65641,91.59819,163.4363,73.21389,37.595272,68.99249,132.43799,174.68364,0.42395553,62677.766,0.5042201
302,83.601425,85.15527,38.695713,91.152756,162.9951,73.24658,37.595272,69.443,132.49219,176.27237,0.4181874,62888.4,0.51097274
303,83.60966,85.42858,38.61757,92.23127,162.76335,73.13702,37.35597,69.399864,132.60762,175.88495,0.41571462,62808.91,0.504174
304,83.57035,84.933624,38.545666,93.469284,163.11008,73.00628,36.973476,68.80696,132.61464,174.83936,0.4097998,62547.01,0.4996668
305,83.60611,85.01923,38.59508,92.87989,164.23341,73.057175,37.551838,69.418396,132.61575,175.77647,0.40544972,62832.902,0.49570352
306,83.59462,85.657005,38.699924,91.82544,164.16412,73.2808,38.349396,70.148346,132.55472,176.65787,0.40631664,62514.01,0.49474522
307,83.609886,84.960236,38.659832,92.90125,164.05078,73.27683,38.18887,69.67806,132.46124,176.58629,0.41576004,62981.926,0.49682266
308,83.58771,84.65797,38.625378,93.11468,163.95479,73.345474,38.573025,69.66029,132.41068,176.74724,0.42015445,63501.99,0.5019414
309,83.60925,84.65433,38.647648,92.2384,162.83527,73.33205,38.5199,69.412224,132.31778,177.66136,0.41984814,63630.707,0.50189257
310,83.61036,84.82131,38.644054,92.7588,163.01772,73.35023,38.58364,68.939926,132.24019,178.78963,0.4168126,63550.53,0.49815792
311,83.576004,84.69415,38.676212,92.66615,162.89137,73.317955,38.263855,68.415855,132.21251,178.15346,0.40846694,63153.676,0.4777377
312,83.56962,84.93028,38.649426,92.395226,162.75047,73.31172,38.4667,69.025154,132.11243,178.65071,0.3994251,63205.473,0.4756438
313,83.56737,84.86946,38.552753,92.894135,161.6647,73.30738,38.338715,68.73964,132.22473,178.24097,0.38119358,62452.55,0.4609578
314,83.57932,84.52083,38.54328,92.0674,160.24326,73.17928,38.62607,68.42287,132.27678,179.8391,0.3968041,62789.57,0.47105932
315,83.577354,84.19869,38.53604,92.63051,159.70207,73.19793,38.82687,68.53436,132.296,179.95842,0.3805019,62222.17,0.45797545
316,83.49885,83.92122,38.503407,93.50464,159.44044,73.22241,38.858463,68.415855,132.30386,178.73756,0.37120354,61904.418,0.45552015
317,83.565056,84.01975,38.58869,92.55209,158.36197,73.319954,38.647263,67.8598,132.32689,181.39673,0.36151248,62111.24,0.4833367
318,83.556915,84.17414,38.64042,92.08165,158.27031,73.32939,38.80579,67.88205,132.29758,180.88774,0.3438203,61505.785,0.47052604
319,83.56428,84.79348,38.677784,92.02467,159.08678,73.31278,38.700188,68.3171,132.21776,181.08018,0.34446523,61355.684,0.46851575
320,83.565056,84.60668,38.651188,92.209885,159.21123,73.318954,38.80579,68.02185,132.14313,182.34373,0.33651546,60988.734,0.46873185
321,83.598976,85.3458,38.715046,91.837685,160.90617,73.3699,39.0783,68.666504,131.96872,181.7035,0.33817655,58756.664,0.45540142
